"id","slug","name","description","shortDescription","fullDescription","sku","price","originalPrice","discountAmount","stockQuantity","lowStockThreshold","weightKg","lengthCm","widthCm","heightCm","warrantyMonths","isWarrantyCovered","isActive","featureOnHomepage","isTrending","isBestSelling","features","specifications","categoryId","brandId","images","colors","storageOptions","tags","reviews","orderItems","cartItems","wishlistItems","coupons","createdAt","updatedAt"
"8b4a4e94-9f34-4d82-a53a-9456b36c8d0d","iphone-x","IPHONE X ","Experience sleek design, powerful performance, and Face ID security with the iPhone X. A premium Apple device built for everyday performance and style.","Experience sleek design, powerful performance, and Face ID security with the iPhone X. A premium Apple device built for everyday performance and style.","The Apple iPhone X is a blend of innovation, elegance, and power. Featuring a stunning 5.8-inch Super Retina OLED display, Face ID for seamless security, and the powerful A11 Bionic chip, it delivers a smooth and responsive user experience. With varying internal storage capacity, there's ample space for your favorite apps, photos, and videos. Whether you're multitasking or capturing memories with the dual 12MP cameras, the iPhone X remains efficient and stylish. Perfectly optimized for Nigerian networks, it supports 4G LTE for fast internet browsing and streaming.
","APP-PRO-961880OZA","197000","197000","0","5","0","1","138.3","67.1","7.1","12","true","true","false","false","false","[""IPHONE X - GRADE A|| 64GB || 197,000"",""IPHONE X - GRADE A|| 256GB || 240,000"",""5.8\"" Super Retina OLED Display – Vivid color and edge-to-edge clarity"",""Face ID – Advanced facial recognition for secure unlocking"",""Dual 12MP Rear Cameras – Capture portrait shots and 4K video with ease"",""Water & Dust Resistant (IP67) – Built to handle everyday challenges""]","[{""name"":""Storage"",""value"":""64GB, 256GB Internal Memory""},{""name"":""Processor"",""value"":""Apple A11 Bionic Chip with Neural Engine""},{""name"":""Display"",""value"":""5.8-inch (1125 x 2436) OLED, HDR10""},{""name"":""Battery Life"",""value"":""Up to 21 hours talk time""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/9f3899dace37b440c228701bc0cb81e746dd305d-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/b734c5c96b19e322031a6f3bddf1726d38a2e657-4000x4000.jpg""]","[""Gray"",""Silver""]","[]","[""IPHONE X""]","[]","[]","[]","[]","[]","2025-10-05T02:39:25Z","2025-12-07T01:40:24Z"
"29ddd7d5-e36b-469f-a585-6b86524341d2","iphone-xs-max","IPHONE XS MAX","Powerful, premium, and with dual cameras — the iPhone XS / XS Max offers flagship features in two size options.","Powerful, premium, and with dual cameras — the iPhone XS / XS Max offers flagship features in two size options.","The Apple iPhone XS / XS Max features dual 12MP rear cameras (wide + telephoto) for optical zoom, Smart HDR, and superior low-light capture. The XS Max gives you a larger 6.5‑inch OLED screen, while the XS retains a more compact form. Both run on the A12 Bionic chip, support Face ID, and offer a refined, glass-and-stainless‑steel build. They provide a high-end experience for users wanting advanced camera capabilities and performance.","APP-PRO-18737516J","295000","295000","0","5","0","1","10","5","2","12","true","true","false","false","false","[""IPHONE XS MAX|| GRADE A || 64GB || 295,000"",""IPHONE XS MAX|| GRADE A || 256GB || 335,000"",""Dual 12MP rear cameras (wide + telephoto)"",""Smart HDR and advanced image processing"",""Super Retina OLED display"",""IP68 water and dust resistance"",""Optical zoom: 2× telephoto lens, digital zoom up to 10× [5]""]","[{""name"":""Storage options"",""value"":""64GB, 256GB, 512GB""},{""name"":""Chipset"",""value"":""A12 Bionic [2]""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/c7f05ead60548a54be8004b841404501064fa122-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/4e306a527614f0e36f49b4fc3875d20e9c533c1c-4000x4000.jpg""]","[""Gray"",""Gold"",""Silver""]","[]","[""IPHONE XS MAX""]","[]","[]","[]","[]","[]","2025-10-05T02:59:50Z","2025-12-07T01:51:05Z"
"7615b260-cdbb-464e-be77-bdcc6033db78","iphone-xrw","Iphone XR","Power meets style with the iPhone XR — featuring a stunning 6.1” Liquid Retina display, A12 Bionic chip, and advanced Face ID in a sleek, durable design.","Power meets style with the iPhone XR — featuring a stunning 6.1” Liquid Retina display, A12 Bionic chip, and advanced Face ID in a sleek, durable design.","Experience the perfect balance of performance and design with the iPhone XR. Built with Apple’s powerful A12 Bionic chip, the XR delivers smooth multitasking, immersive AR experiences, and efficient battery use all day long. Its 6.1-inch Liquid Retina HD display offers vibrant color accuracy, while the aerospace-grade aluminum and glass body adds durability and elegance. Capture incredible shots with the 12MP rear camera and enjoy secure unlocking and payments through advanced Face ID. Whether for work, play, or everything in between, the iPhone XR is engineered to keep up with your lifestyle.  ","APP-PRO-28222096G3","220000","240000","20000","5","0","1","10","5","2","1","true","true","false","false","false","[""IPHONE XR || GRADE A || 64GB || 220,000"",""IPHONE XR || GRADE A || 128GB || 265,000"",""IPHONE XR || GRADE A || 256GB || 300,000"",""6.1” Liquid Retina HD display for vivid, true-to-life visuals"",""A12 Bionic chip with next-gen Neural Engine for fast performance"",""12MP rear camera with Smart HDR and 4K video recording"",""Wireless charging and fast-charge capable""]","[{""name"":""Storage Options"",""value"":""64GB / 128GB / 256GB""},{""name"":""Front Camera"",""value"":""7MP TrueDepth, Portrait Mode, 1080p HD video""},{""name"":""Rear Camera"",""value"":""12MP wide-angle, f/1.8 aperture, Smart HDR, 4K video""},{""name"":""Display"",""value"":""6.1-inch Liquid Retina HD (LCD), 1792x828 resolution""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[]","[""Black"",""Blue"",""Red"",""Silver""]","[]","[""IPHONE XR""]","[]","[]","[]","[]","[]","2025-10-08T04:38:05Z","2026-01-15T15:34:32Z"
"445f62c8-2a85-48ab-81ba-d5f0727c8f40","iphone-11-","IPHONE 11","Reliable, powerful, and efficient — the iPhone 11 offers a perfect blend of performance and value for everyday use.","Reliable, powerful, and efficient — the iPhone 11 offers a perfect blend of performance and value for everyday use.","The Apple iPhone 11 is a great all-rounder, packing Apple’s A13 Bionic chip, a dual-camera system (ultra-wide + wide), and a 6.1‑inch Liquid Retina LCD display. Its long battery life, solid software support, and excellent performance make it one of the most popular iPhones still in demand. Fully compatible with Nigerian networks, it supports LTE and offers seamless integration with the Apple ecosystem.","APP-PRO-310547UENZ","310000","315000","5000","5","0","1","10","5","2","12","true","true","false","false","false","[""IPHONE 11|| GRADE A || 64GB || 310,000"",""IPHONE 11|| GRADE A || 128GB || 360,000"",""IPHONE 11|| GRADE A || 256GB || 390,000"",""Dual 12 MP cameras (wide + ultra-wide) with Night Mode"",""A13 Bionic chip for smooth multitasking and gaming"",""6.1‑inch LCD (Liquid Retina HD display), 1792×828 resolution"",""Water and dust resistance (IP68)"",""Battery: Up to 17 hours video playback""]","[{""name"":""Storage"",""value"":""64GB/ 128GB/ 256GB""},{""name"":""Chipset"",""value"":""A13 Bionic""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/f53ba6bfefdcd9271176186046a145fed346e09c-4000x4000.jpg""]","[""Black"",""White"",""Green"",""Red"",""Purple""]","[]","[""IPHONE 11""]","[]","[]","[]","[]","[]","2025-10-08T04:55:13Z","2026-01-15T12:57:47Z"
"e56c41da-b6c3-4785-9325-dba2bd1f895f","iphone-11-pro-","IPHONE 11 PRO","The iPhone 11 Pro  brings the triple-camera system and superb performance in one premium package.","The iPhone 11 Pro  brings the triple-camera system and superb performance in one premium package.","With three 12MP sensors (wide, ultra-wide, telephoto), iPhone 11 Pro gives you flexibility for everything from landscapes to portraits. The A13 Bionic chip ensures seamless performance, while the Super Retina XDR OLED display delivers vivid color and high contrast. Battery life is improved over prior models, and with IP68 durability and support for 18W fast charging, these flagships offer a rich experience","APP-PRO-595139M1GD","370000","370000","0","5","0","1","10","5","2","12","true","true","false","false","false","[""IPHONE 11 PRO || GRADE A || 64GB || 370,000"",""IPHONE 11 PRO || GRADE A || 256GB || 390,000"",""IPHONE 11 PRO || GRADE A || 512GB || 395,000"",""Triple 12MP cameras (wide, ultra-wide, telephoto)"",""Night Mode and Smart HDR"",""Super Retina XDR OLED display"",""5.8\"" (Display Size)"",""Battery & charging- Up to 18W fast charging, wireless charging"",""Excellent battery life & fast charging""]","[{""name"":""Storage"",""value"":""64GB/ 256GB/ 512GB""},{""name"":""Chipset"",""value"":""A13 Bionic""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/5f0888e67ba953d506c8fd5b05f681ac003f599a-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/8fd94770f3c73f0bfeabee846aa07fd1bd4d854b-4000x4000.jpg""]","[""Green"",""Gray"",""Gold"",""Silver""]","[""64GB"",""256GB"",""512GB"",""128GB""]","[""IPHONE 11 PRO""]","[]","[]","[]","[]","[]","2025-10-08T06:06:38Z","2025-11-12T22:02:16Z"
"544f71c1-4997-40fb-877d-7eb6d6d4e9e6","iphone-11-pro-max","IPHONE 11 PRO MAX","The iPhone 11 Pro Max brings the triple-camera system and superb performance in one premium package","The iPhone 11 Pro Max brings the triple-camera system and superb performance in one premium package","With three 12MP sensors (wide, ultra-wide, telephoto), iPhone 11 Pro Max gives you flexibility for everything from landscapes to portraits. The A13 Bionic chip ensures seamless performance, while the Super Retina XDR OLED display delivers vivid color and high contrast. Battery life is improved over prior models, and with IP68 durability and support for 18W fast charging, these flagships offer a rich experience.","APP-PRO-216358W61","435000","435000","0","5","0","1","10","5","2","12","true","true","false","false","false","[""IPHONE 11 PROMAX|| GRADE A || 64GB || 435,000"",""IPHONE 11 PROMAX|| GRADE A || 256GB || 460,000"",""Triple 12MP cameras (wide, ultra-wide, telephoto)"",""Night Mode and Smart HDR"",""Super Retina XDR OLED display"",""6.5\"" (Display sizes)"",""Excellent battery life & fast charging""]","[{""name"":""Chipset"",""value"":""A13 Bionic""},{""name"":""Storage"",""value"":""64GB/ 256GB/ 512GB""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/5f0888e67ba953d506c8fd5b05f681ac003f599a-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/8fd94770f3c73f0bfeabee846aa07fd1bd4d854b-4000x4000.jpg""]","[""Gold"",""Green"",""Silver"",""Gray""]","[""64GB"",""256GB""]","[]","[]","[]","[]","[]","[]","2025-10-08T06:16:59Z","2025-10-08T06:16:59Z"
"76564dd9-9b17-4cc4-ac7e-f8beca4a3845","iphone-12","IPHONE 12"," The 'IPhone 12' is built for the next generation."," The 'IPhone 12' is built for the next generation.","The Apple iPhone 12 introduces 5G connectivity, the A14 Bionic chip, and a stunning 6.1‑inch Super Retina XDR OLED display. With ceramic shield glass for durability and a dual-camera system capable of Night Mode on both lenses, it's a powerful yet elegant device. Perfectly tuned for all networks and global compatibility.","APP-PRO-1542569FV","310000","340000","30000","5","0","1","10","5","2","1","true","true","false","false","false","[""IPHONE 12 || GRADE A || 64GB || 310,000"",""IPHONE 12 || GRADE A || 128GB || 350000"",""IPHONE 12 || GRADE A || 256GB || 380,000"",""5G-ready for faster browsing and streaming"",""Super Retina XDR OLED display Dual"",""12 MP rear cameras with Night Mode"",""Ceramic Shield front glass for enhanced durability"",""Battery - Up to 17 hours video playback""]","[{""name"":""Storage"",""value"":""64GB/ 128GB/ 256GB""},{""name"":""Chipset"",""value"":""A14 Bionic""},{""name"":""Display"",""value"":""6.1\"" OLED, 2532×1170 resolution""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[]","[""Black"",""White"",""Red"",""Green"",""Blue""]","[""64GB"",""128GB"",""256GB""]","[""IPHONE 12""]","[]","[]","[]","[]","[]","2025-10-08T06:32:37Z","2026-01-15T15:39:08Z"
"57d02c02-b55f-40d0-aee4-12655d8dd913","iphone-12-pro","IPHONE 12 PRO","Elegant and powerful — the iPhone 12 Pro combines a sleek design, pro-level cameras, and blazing-fast performance with 5G speed and stunning Super Retina XDR display.","Elegant and powerful — the iPhone 12 Pro combines a sleek design, pro-level cameras, and blazing-fast performance with 5G speed and stunning Super Retina XDR display.","The iPhone 12 Pro delivers professional performance in a premium stainless-steel frame. Powered by Apple’s A14 Bionic chip, it offers ultra-fast responsiveness, advanced AI processing, and smooth multitasking. The triple-camera system with LiDAR scanner enables breathtaking photos, low-light portraits, and cinematic 4K Dolby Vision videos. Enjoy rich visuals on the 6.1” Super Retina XDR display, and stay ahead with 5G connectivity for faster downloads and streaming. Durable Ceramic Shield front cover and water resistance add confidence to your everyday use.
","APP-PRO-5335348GK","425000","480000","55000","5","0","1","10","5","2","1","true","true","false","false","false","[""IPHONE 12 PRO|| GRADE A || 128GB || 425,000"",""IPHONE 12 PRO|| GRADE A || 256GB || 500,000"",""IPHONE 12 PRO|| GRADE A || 512GB || 510,000"",""Triple 12MP Pro camera system with LiDAR for enhanced depth"",""6.1” Super Retina XDR OLED display"",""A14 Bionic chip with next-gen Neural Engine"",""5G capable for ultra-fast connectivity"",""Battery Life- Up to 17 hours video playback""]","[{""name"":""Processor"",""value"":""A14 Bionic""},{""name"":""Storage Options"",""value"":""128GB / 256GB / 512GB""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[]","[""Blue"",""Silver"",""Gold""]","[""128GB"",""256GB"",""512GB""]","[""IPHONE 12 PRO""]","[]","[]","[]","[]","[]","2025-10-09T04:35:36Z","2026-01-15T15:43:39Z"
"689114b9-c22f-4997-aeae-7154805e8bbc","iphone-12-pro-max","IPHONE 12 PRO MAX","iPhone 12 Pro Max pushes boundaries with its largest display, powerful A14 Bionic chip, and a Pro camera system built for stunning detail and low-light performance.","iPhone 12 Pro Max pushes boundaries with its largest display, powerful A14 Bionic chip, and a Pro camera system built for stunning detail and low-light performance.","The iPhone 12 Pro Max is Apple’s premium flagship experience, combining a massive 6.7-inch Super Retina XDR display with the raw power of the A14 Bionic chip. It features a triple 12MP Pro camera system with enhanced optical zoom, Night mode across all lenses, and Dolby Vision HDR recording for cinematic videos. The larger sensor improves low-light photography, while the LiDAR scanner enables faster autofocus and AR experiences. Built with Ceramic Shield, 5G connectivity, and Mag Safe support, the 12 Pro Max is made for users who demand top-tier performance and design.","APP-PRO-938401WYN","575000","630000","55000","5","0","1","10","5","2","1","true","true","false","false","false","[""IPHONE 12 PRO MAX|| GRADE A || 128GB || 575,000"",""IPHONE 12 PRO MAX|| GRADE A || 256GB || 595,000"",""6.7” Super Retina XDR OLED display  2778 x 1284 resolution"",""Pro camera system with 5x optical zoom range and Night mode"",""A14 Bionic chip with Neural Engine for ultra-fast processing"",""LiDAR scanner for low-light portraits and immersive AR""]","[{""name"":""Processor"",""value"":""A14 Bionic""},{""name"":""Storage Options"",""value"":""128GB / 256GB / 512GB""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/b8d4ef4dc4a4b6733528a0944d1bfcf88e6260c9-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/b3d3d4c74bfb397a26ebccbcbfb6b8630bfcbd35-4000x4000.jpg""]","[""Gold"",""Blue"",""Silver""]","[""128GB"",""256GB""]","[""IPHONE 12 PRO MAX""]","[]","[]","[]","[]","[]","2025-10-09T05:15:41Z","2025-10-09T05:15:41Z"
"127c3ca6-0167-4ce9-82d9-99c193b2f82b","iphone-13","IPHONE 13","iPhone 13 delivers powerful performance, all-day battery life, and advanced dual cameras — all wrapped in a sleek, durable design.","iPhone 13 delivers powerful performance, all-day battery life, and advanced dual cameras — all wrapped in a sleek, durable design.","The iPhone 13 is designed to give you more of what you love. Powered by the ultra-efficient A15 Bionic chip, it delivers lightning-fast performance and enhanced graphics for everything from gaming to multitasking. Its 6.1” Super Retina XDR display offers vibrant colors and sharp detail, while the improved dual 12MP camera system features sensor-shift stabilization and cinematic video mode. With stronger battery life, 5G connectivity, and a sleek flat-edge design, the iPhone 13 is a perfect balance of style and speed.","APP-PRO-100623G1C","450000","480000","30000","5","0","1","10","5","2","1","true","true","false","false","false","[""IPHONE 13 || GRADE A || 128GB || 450,000"",""IPHONE 13 || GRADE A || 256GB || 490,000"",""6.1” Super Retina XDR display"",""A15 Bionic chip with 5G support"",""Dual 12MP camera system with Cinematic mode"",""Durable Ceramic Shield and IP68 water resistance"",""Battery Life - Up to 19 hours video playback"",""OS: iOS 15 (upgradeable)""]","[{""name"":""Storage Options"",""value"":""128GB / 256GB / 512GB""},{""name"":""Camera"",""value"":""Dual 12MP (wide + ultra-wide)""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/a460b408952fb117f5883da4316a72526c21d59f-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/f74b7ed461ceb65d33ab489e457105d9d3b76416-4000x4000.jpg""]","[""Red"",""Pink"",""Blue""]","[""128GB"",""256GB""]","[""IPHONE 13""]","[]","[]","[]","[]","[]","2025-10-09T05:35:03Z","2025-10-09T05:35:03Z"
"4c73e386-69f4-42cb-a953-fc918af2752b","iphone-13-pro","IPHONE 13 PRO","iPhone 13 Pro combines pro-level camera power, super-smooth performance, and a sleek stainless-steel design built for those who demand more.","iPhone 13 Pro combines pro-level camera power, super-smooth performance, and a sleek stainless-steel design built for those who demand more.","The iPhone 13 Pro is engineered for performance and precision. Its 6.1” Super Retina XDR display with ProMotion 120Hz offers ultra-smooth visuals, perfect for gaming, content creation, and daily use. Powered by the A15 Bionic chip with a 5-core GPU, it handles demanding apps with ease. The triple 12MP Pro camera system includes Night mode on all lenses, macro photography, and Cinematic video for professional-grade content. With up to 1TB storage, 5G support, MagSafe compatibility, and all-day battery life, the iPhone 13 Pro delivers in every category.
","APP-PRO-305231GVN","570000","630000","60000","5","0","1","10","5","2","1","true","true","false","false","false","[""IPHONE 13 PRO || GRADE A || 128GB || 570,000"",""IPHONE 13 PRO || GRADE A || 256GB || 650,000"",""IPHONE 13 PRO || GRADE A || 512GB || 700,000"",""ProMotion 120Hz 6.1” Super Retina XDR OLED display for smooth interaction"",""Triple 12MP cameras with macro, Night mode, and Cinematic video"",""A15 Bionic chip with 5-core GPU for top-tier performance"",""Surgical-grade stainless steel design with Ceramic Shield""]","[{""name"":""Camera"",""value"":""12MP wide, ultra-wide, telephoto + LiDAR""},{""name"":""Storage Options"",""value"":""128GB / 256GB / 512GB / 1TB""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/f12c190039cbd1398b6d766bf0023936f331e272-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/10de8ca4d1b7c3b36b0f0293e5345da4834b4b69-4000x4000.jpg""]","[""Gold"",""Silver"",""Blue"",""Green""]","[""128GB"",""256GB"",""512GB"",""1TB""]","[""IPHONE 13 PRO""]","[]","[]","[]","[]","[]","2025-10-09T05:55:08Z","2025-10-09T05:55:08Z"
"fd305e9c-4e54-4327-b7aa-911228980084","iphone-13-pro-max","IPHONE 13 PRO MAX","iPhone 13 Pro Max delivers Apple’s most powerful features — Pro camera system, massive battery, and stunning 6.7” Super Retina XDR display with ProMotion.","iPhone 13 Pro Max delivers Apple’s most powerful features — Pro camera system, massive battery, and stunning 6.7” Super Retina XDR display with ProMotion.","The iPhone 13 Pro Max is the ultimate iPhone experience — built for power users, creators, and professionals. It features a 6.7-inch Super Retina XDR display with ProMotion 120Hz for incredibly smooth visuals. Equipped with the A15 Bionic chip and a 5-core GPU, it handles intense tasks, gaming, and video editing effortlessly. The triple 12MP Pro cameras with macro photography, Night mode, and Cinematic video give you complete creative control. With excellent battery life, up to 1TB of storage, and a premium stainless-steel body, it’s built to perform and impress.","APP-PRO-887807MDO","695000","740000","45000","5","0","1","10","5","2","12","true","true","false","false","false","[""IPHONE 13 PRO MAX|| GRADE A || 128GB || 695,000"",""IPHONE 13 PRO MAX|| BOXED || 128GB || 780,000"",""IPHONE 13 PRO MAX|| GRADE A || 256GB || 740,000"",""IPHONE 13 PRO MAX|| BOXED || 256GB || 850,000"",""IPHONE 13 PRO MAX|| GRADE A || 512GB || 805,000"",""6.7” ProMotion OLED display (120Hz refresh rate) Super Retina XDR, 2778 x 1284 resolution"",""Triple 12MP camera system with LiDAR and macro mode"",""A15 Bionic chip with 5-core GPU and 5G support"",""All-day battery life with MagSafe wireless charging"",""Battery Life - Up to 28 hours video playback""]","[{""name"":""Storage"",""value"":""128GB / 256GB / 512GB / 1TB""},{""name"":""Camera"",""value"":""Triple 12MP (wide, ultra-wide, telephoto) + Cinematic mode""}]","e26973b8-b931-4be7-b4dc-1b1f2ab5e42c","454d9b89-9ae9-4694-8f78-8ed73ff8659f","[""https://cdn.sanity.io/images/6cn2ufbi/prod_main/f12c190039cbd1398b6d766bf0023936f331e272-4000x4000.jpg"",""https://cdn.sanity.io/images/6cn2ufbi/prod_main/983ed3d8c33dfc2b35921d1b6cb25fd03fa292b5-4000x4000.jpg""]","[""Gold"",""Blue"",""Green"",""Silver""]","[""128GB"",""256GB"",""512GB""]","[""IPHONE 13 PRO MAX""]","[]","[]","[]","[]","[]","2025-10-10T05:08:11Z","2025-10-10T05:08:11Z"
